title,author,isbn,category,total_copies,available_copies,language,pages
L'avantage de louer à l'état pur,Adèle Barbier,978-0-14-180654-9,Fiction,4,4,Italien,762
Le droit d'atteindre vos buts avant-tout,Marthe Peltier,978-1-57484-468-9,Fantasy,10,1,Français,771
Le confort d'innover sans soucis,Nicolas Petitjean,978-1-76917-166-8,Thriller,2,10,Français,774
L'art de concrétiser vos projets à la pointe,Agathe Le Gall,978-0-05-655860-1,Biographie,10,2,Italien,173
L'avantage de rouler sans soucis,Laurence Lefort,978-0-15-831244-6,Science-Fiction,8,7,Anglais,440
L'assurance d'atteindre vos buts naturellement,Valérie David-Barbe,978-0-437-93312-6,Poésie,9,7,Allemand,441
La possibilité de rouler naturellement,Arthur Cordier,978-1-902377-55-1,Fiction,3,8,Anglais,253
L'avantage de concrétiser vos projets plus facilement,Bernadette Étienne,978-1-59238-661-1,Thriller,10,6,Anglais,667
La possibilité de rouler sans soucis,Rémy-Jacques Techer,978-0-587-82192-2,Histoire,1,1,Italien,66
Le droit d'atteindre vos buts sans soucis,Paulette Rodrigues de Bourgeois,978-0-15-181301-8,Science-Fiction,2,4,Français,207
Le droit d'avancer de manière sûre,Frédérique-Philippine Fernandes,978-1-178-43941-0,Science-Fiction,5,10,Espagnol,306
L'art d'avancer sans soucis,Danielle Laporte,978-1-247-78786-2,Poésie,2,10,Allemand,656
La liberté d'avancer de manière sûre,Véronique Weiss,978-0-542-97308-6,Poésie,10,1,Espagnol,468
L'assurance de louer de manière efficace,Amélie Barthelemy-Didier,978-1-244-91787-3,Poésie,6,1,Allemand,344
Le plaisir d'atteindre vos buts de manière sûre,Isaac Jacquot-Fischer,978-1-4951-9421-4,Poésie,5,10,Français,55
L'assurance de rouler de manière sûre,Claudine Leconte de Delorme,978-1-891744-08-2,Poésie,6,4,Français,587
L'art de changer de manière sûre,Susan Gautier,978-1-181-11967-5,Biographie,9,3,Allemand,368
Le confort de rouler en toute tranquilité,Matthieu Gonzalez,978-1-996169-96-4,Thriller,8,5,Anglais,800
Le pouvoir de rouler avant-tout,Sabine Le Boucher,978-1-282-94574-6,Roman,7,8,Français,538
La liberté d'innover de manière efficace,Alfred Guillot Le Le Goff,978-0-549-85983-3,Histoire,1,8,Allemand,582
L'assurance d'atteindre vos buts sans soucis,Henri-François Pineau,978-1-84841-847-9,Science-Fiction,7,6,Français,87
Le plaisir d'innover à sa source,Guillaume Couturier,978-1-9789-4022-2,Programmation,8,2,Allemand,635
L'assurance d'évoluer de manière sûre,Marthe du Le Roux,978-1-169-00705-5,Biographie,9,4,Français,572
Le pouvoir de rouler de manière efficace,Éric Bigot,978-0-568-41753-3,Biographie,9,8,Allemand,217
La possibilité d'atteindre vos buts à l'état pur,Arthur Poulain,978-1-03-877932-8,Fiction,9,8,Anglais,400
L'assurance de rouler sans soucis,Christine Labbé,978-1-63724-251-3,Programmation,5,6,Français,232
La possibilité d'évoluer à l'état pur,Xavier Deschamps,978-1-4821-1269-6,Fiction,1,7,Anglais,91
Le plaisir de louer à sa source,Éric Hebert,978-1-364-39868-2,Histoire,6,2,Espagnol,533
Le droit d'innover naturellement,Tristan Blondel,978-0-7111-9831-9,Thriller,6,3,Allemand,319
L'avantage d'évoluer naturellement,Pénélope Maillard,978-1-5272-7303-0,Philosophie,8,10,Anglais,791
La liberté de louer de manière efficace,Marine Léger,978-0-03-208919-8,Thriller,1,8,Allemand,518
L'avantage d'innover avant-tout,Édouard Chauvet Le Vallée,978-1-4912-9642-4,Thriller,10,7,Allemand,526
Le confort de louer en toute tranquilité,Colette Tessier,978-1-889612-78-2,Philosophie,1,8,Français,688
L'avantage d'avancer de manière efficace,Denise Dubois,978-1-301-45307-8,Fiction,5,3,Français,147
Le confort de concrétiser vos projets à la pointe,Antoine du Normand,978-0-8367-0377-1,Fiction,9,9,Allemand,302
Le pouvoir de rouler naturellement,Alain Guibert,978-1-356-26224-3,Programmation,7,6,Anglais,323
Le pouvoir d'atteindre vos buts naturellement,Chantal Moreau,978-1-242-93723-1,Roman,2,9,Anglais,536
La possibilité de changer à l'état pur,Philippe Rodrigues,978-1-874900-66-5,Thriller,1,1,Italien,767
L'avantage de rouler en toute tranquilité,Isabelle Collet,978-0-11-017281-1,Fantasy,4,7,Français,578
Le pouvoir d'évoluer autrement,Marcel-Lucas Labbé,978-1-4243-3042-3,Fiction,3,2,Anglais,88
Le droit de concrétiser vos projets de manière sûre,Julie Delorme,978-0-17-845280-1,Science-Fiction,3,10,Allemand,259
Le pouvoir d'innover autrement,Isaac Hamon-Hamon,978-0-528-51895-9,Fantasy,10,2,Allemand,112
Le droit d'avancer autrement,Olivier Morel de Briand,978-1-84846-764-4,Fiction,2,8,Anglais,503
L'assurance d'évoluer naturellement,Juliette Lenoir-Morel,978-1-346-44293-8,Histoire,8,8,Anglais,339
Le confort d'innover plus rapidement,Anne Muller,978-0-416-14400-0,Poésie,3,9,Anglais,108
L'art de changer à sa source,Victoire Dufour,978-1-876401-07-8,Poésie,6,3,Italien,723
Le pouvoir de rouler à la pointe,Antoine-Tristan Neveu,978-0-579-60838-8,Philosophie,10,5,Italien,124
La liberté d'avancer de manière efficace,Zoé Marty,978-1-216-20828-2,Programmation,6,2,Espagnol,190
Le plaisir d'atteindre vos buts autrement,Richard Alexandre,978-1-168-66218-7,Fiction,5,9,Espagnol,59
Le droit d'atteindre vos buts à l'état pur,Andrée Leclerc-Charles,978-0-09-071174-1,Histoire,7,2,Espagnol,328
La liberté d'atteindre vos buts autrement,Michelle Leleu Le Clément,978-1-874455-68-4,Philosophie,1,3,Allemand,52
Le pouvoir d'innover naturellement,Rémy Guérin du Mace,978-0-88474-421-4,Programmation,6,10,Italien,67
L'art d'avancer plus rapidement,Margaret-Camille Vallée,978-0-8236-3620-4,Biographie,1,1,Italien,209
Le plaisir de rouler à l'état pur,Nicolas Lopes,978-0-03-466997-8,Thriller,8,8,Anglais,512
La possibilité de concrétiser vos projets naturellement,Anaïs Moulin,978-0-2281-3051-2,Biographie,7,7,Anglais,772
L'art de concrétiser vos projets à la pointe,Lucie François Le Rodriguez,978-1-06-532987-9,Science-Fiction,7,6,Français,303
La liberté d'innover plus facilement,Geneviève-Christelle Gonzalez,978-1-5396-8736-8,Roman,8,2,Français,203
Le plaisir d'évoluer à la pointe,Jacques Delannoy,978-0-7017-7677-0,Poésie,7,6,Anglais,643
L'art d'atteindre vos buts plus facilement,Jérôme Rousset,978-1-129-25360-7,Poésie,2,8,Allemand,589
La possibilité d'évoluer de manière sûre,Christelle Leroux,978-0-09-721090-2,Philosophie,5,7,Espagnol,568
La possibilité de changer autrement,Joseph-Zacharie Andre,978-1-74012-413-3,Histoire,2,8,Français,454
Le plaisir d'évoluer avant-tout,Thierry Lebrun,978-1-08-283779-1,Histoire,1,6,Espagnol,379
L'art de louer plus rapidement,Émile Rodriguez-Torres,978-1-4275-7644-6,Thriller,6,8,Italien,457
La possibilité de concrétiser vos projets de manière sûre,Maurice Leclerc,978-1-228-09203-9,Poésie,10,7,Français,338
La liberté d'évoluer sans soucis,René Mary-Payet,978-1-57532-964-2,Histoire,5,1,Italien,738
Le droit de louer de manière efficace,Eugène Loiseau-Delaunay,978-1-06-966407-5,Thriller,9,10,Italien,600
L'avantage d'avancer avant-tout,André Collet,978-0-8343-3902-6,Philosophie,1,4,Français,585
Le pouvoir de rouler de manière efficace,Alphonse Weiss,978-0-02-481785-3,Biographie,6,3,Italien,602
Le droit de changer en toute tranquilité,Martine Michel-Dufour,978-1-5020-7812-4,Poésie,8,3,Espagnol,432
La liberté d'innover sans soucis,Lucie Fournier,978-0-02-407100-2,Thriller,8,8,Allemand,794
L'art d'innover plus rapidement,Christelle Barbier,978-0-652-73559-8,Science-Fiction,9,10,Espagnol,250
Le plaisir de changer autrement,Lucy-Pénélope Klein,978-1-62208-327-5,Poésie,9,9,Allemand,207
La possibilité d'atteindre vos buts en toute tranquilité,Camille Rousseau,978-1-237-69853-6,Fantasy,1,8,Allemand,673
L'avantage d'avancer sans soucis,Cécile de la Rocher,978-0-9852559-6-1,Fantasy,1,10,Français,364
Le pouvoir de changer de manière sûre,Frédérique Allain,978-0-05-917706-9,Fiction,8,1,Français,549
La liberté d'atteindre vos buts naturellement,Henriette Leduc,978-1-62975-723-0,Fiction,5,9,Anglais,575
Le confort de louer de manière efficace,Bertrand Durand-Lombard,978-1-69548-219-7,Philosophie,1,1,Anglais,551
La liberté de changer de manière sûre,Philippe Pasquier,978-1-5119-1542-7,Philosophie,8,2,Italien,522
Le pouvoir d'innover plus facilement,Zacharie Briand-Lagarde,978-0-499-65712-1,Histoire,2,1,Espagnol,98
La possibilité d'évoluer à la pointe,Roger Munoz,978-1-5309-3584-0,Biographie,10,9,Allemand,260
Le droit de changer en toute tranquilité,Maryse de Brun,978-1-339-74035-5,Philosophie,8,10,Espagnol,296
L'assurance de louer sans soucis,Valentine Collet,978-0-467-06468-5,Histoire,10,10,Français,582
Le confort de concrétiser vos projets à sa source,Juliette Coste,978-0-88602-675-2,Roman,1,1,Allemand,103
Le pouvoir d'atteindre vos buts de manière efficace,Denise Collin,978-0-7250-7985-7,Programmation,3,4,Français,442
L'art de changer en toute tranquilité,Astrid Le Fernandez,978-0-939414-93-2,Fiction,6,10,Allemand,317
L'avantage de rouler naturellement,René Blin,978-0-326-74768-1,Programmation,6,6,Espagnol,695
Le confort de concrétiser vos projets plus facilement,Éric Hamon,978-1-5035-6878-5,Histoire,6,3,Italien,360
L'art d'innover naturellement,Geneviève Prévost,978-1-4678-7133-4,Science-Fiction,10,9,Allemand,720
Le confort de rouler à sa source,Jeannine Petit-Breton,978-1-335-90029-6,Poésie,3,7,Espagnol,422
L'art d'innover de manière efficace,Olivier Allard,978-0-519-91899-7,Histoire,2,3,Français,263
La liberté d'avancer de manière sûre,Henriette Marchand,978-1-349-32012-7,Fantasy,6,9,Anglais,652
L'art de louer autrement,Louise Voisin de Leblanc,978-0-88069-491-9,Thriller,8,4,Italien,503
L'assurance de concrétiser vos projets à sa source,François Gillet-Rivière,978-0-341-37524-1,Science-Fiction,1,8,Anglais,245
La liberté d'innover avant-tout,Henriette de Gaillard,978-0-02-207990-1,Histoire,3,7,Allemand,306
L'art d'innover de manière sûre,Odette de la Salmon,978-1-76414-395-0,Fiction,2,10,Français,482
L'avantage de rouler naturellement,William Le Roux,978-0-661-89495-8,Biographie,9,1,Italien,127
Le pouvoir d'évoluer à la pointe,Aimé Marchal,978-1-66184-852-1,Roman,6,9,Espagnol,712
Le plaisir d'innover à l'état pur,Alice Imbert,978-1-82042-171-8,Philosophie,4,9,Anglais,84
Le confort de changer naturellement,Victor-Théophile Perrin,978-0-8313-6370-3,Thriller,2,6,Italien,532
Le droit d'innover de manière sûre,Denise Boyer-Roy,978-1-5191-8122-0,Programmation,4,9,Italien,634
Le plaisir d'atteindre vos buts avant-tout,Dorothée-Cécile Tessier,978-1-301-60223-0,Fiction,10,5,Italien,499
L'assurance de changer plus facilement,François Hubert,978-0-383-81279-7,Fiction,8,6,Français,540
La possibilité d'atteindre vos buts de manière sûre,Christelle-Antoinette Picard,978-0-7546-3168-2,Poésie,3,4,Espagnol,328
Le droit de changer plus rapidement,Diane Marin,978-0-296-36951-7,Fantasy,10,1,Allemand,283
La liberté d'avancer naturellement,Éric Marion,978-1-07-959646-5,Science-Fiction,1,6,Espagnol,471
La possibilité d'avancer naturellement,Luce de Maréchal,978-0-365-54284-1,Programmation,9,7,Espagnol,459
La possibilité de louer plus rapidement,Raymond Baron,978-1-06-779069-1,Thriller,1,9,Allemand,588
Le pouvoir d'avancer autrement,Constance-Marine Hoareau,978-0-920827-95-6,Biographie,1,5,Allemand,675
L'assurance de concrétiser vos projets à sa source,Olivie Ruiz,978-1-341-69150-8,Philosophie,7,10,Anglais,168
Le pouvoir d'avancer en toute tranquilité,Aurélie de la Morin,978-0-7266-3273-0,Science-Fiction,4,5,Anglais,53
L'assurance d'innover autrement,Claudine Hoareau Le Boyer,978-0-473-27774-1,Programmation,6,5,Anglais,57
Le droit de rouler de manière efficace,Vincent Bouvier,978-0-05-341219-7,Programmation,10,3,Italien,63
L'art de changer autrement,Émilie Leroux,978-1-152-69490-3,Science-Fiction,10,3,Français,750
La liberté d'atteindre vos buts plus facilement,Marianne Hernandez,978-0-7861-3603-2,Fiction,4,2,Allemand,455
Le confort d'évoluer sans soucis,Éric Perrier,978-1-4205-4614-9,Biographie,3,2,Allemand,534
La liberté de concrétiser vos projets plus facilement,Noël Charpentier,978-1-997958-06-2,Fiction,10,4,Français,383
Le plaisir de concrétiser vos projets sans soucis,Véronique-Charlotte Renaud,978-1-4333-3489-4,Fantasy,6,8,Italien,421
L'assurance d'atteindre vos buts en toute tranquilité,Marc Bègue,978-0-7387-0406-7,Histoire,7,2,Allemand,490
Le plaisir d'avancer plus facilement,Christophe Leclerc,978-0-630-52937-9,Philosophie,5,4,Espagnol,188
Le confort de louer de manière efficace,Antoinette Boulay Le Legrand,978-1-7361189-1-7,Science-Fiction,8,4,Anglais,585
L'avantage de louer plus facilement,Manon Payet,978-1-290-09857-1,Philosophie,4,4,Espagnol,661
La liberté de rouler à la pointe,Élisabeth Barbier,978-0-287-33393-0,Programmation,5,3,Espagnol,693
L'avantage de rouler de manière sûre,Grégoire Gautier de la Bourdon,978-0-04-608854-5,Philosophie,4,7,Allemand,361
Le pouvoir d'évoluer de manière sûre,Marc Dupré,978-1-260-33513-2,Fiction,9,4,Italien,432
Le droit de concrétiser vos projets à l'état pur,Tristan Andre-Marty,978-0-293-92804-5,Thriller,8,5,Allemand,764
Le pouvoir d'avancer sans soucis,Sébastien Humbert,978-1-70724-336-5,Poésie,8,4,Français,178
Le confort de changer de manière efficace,William Delahaye,978-0-7325-6625-8,Histoire,6,5,Anglais,139
L'art d'évoluer de manière sûre,Maryse-Nicole Lemonnier,978-1-09-814195-0,Fiction,6,6,Italien,449
L'art d'évoluer à la pointe,Adrien Mahe,978-0-609-79404-3,Programmation,9,6,Allemand,459
L'avantage d'avancer de manière sûre,Stéphane Benoit,978-0-533-10366-9,Philosophie,9,7,Espagnol,239
L'assurance de rouler à sa source,Joseph-Gabriel Coste,978-0-257-96056-2,Biographie,8,7,Espagnol,574
L'avantage d'avancer avant-tout,Émile Lenoir,978-0-04-070299-7,Science-Fiction,10,1,Espagnol,416
Le droit de rouler avant-tout,Émile Humbert,978-0-04-550872-3,Biographie,9,6,Anglais,472
L'art de concrétiser vos projets avant-tout,Juliette-Louise Godard,978-0-291-92949-5,Programmation,6,9,Français,248
La liberté d'innover à l'état pur,Olivier Vaillant,978-0-218-71836-2,Poésie,8,5,Français,588
L'art de louer en toute tranquilité,Jérôme Hamon,978-1-55205-035-4,Fantasy,2,7,Espagnol,753
Le confort d'innover à la pointe,Joséphine David-Albert,978-1-63721-700-9,Biographie,2,1,Allemand,157
Le pouvoir de louer autrement,Alphonse Rousseau,978-1-378-85262-0,Science-Fiction,10,10,Espagnol,248
Le droit d'atteindre vos buts à l'état pur,Océane Cordier,978-0-19-778874-5,Thriller,8,6,Espagnol,61
Le plaisir de louer sans soucis,Charlotte Martineau,978-1-5159-1699-4,Philosophie,9,1,Allemand,229
Le droit d'avancer avant-tout,Patrick Gérard-Bègue,978-0-286-26828-8,Thriller,7,4,Espagnol,468
Le pouvoir d'innover autrement,Suzanne de la Dufour,978-1-321-99286-1,Thriller,2,9,Anglais,525
Le droit d'avancer plus facilement,Susanne Legros,978-0-407-22435-3,Poésie,10,10,Anglais,397
Le plaisir de louer en toute tranquilité,Agathe Chauveau-Le Goff,978-1-226-28771-0,Poésie,9,6,Français,719
La liberté d'avancer à sa source,Gérard Millet-Millet,978-1-337-04577-3,Fiction,9,3,Français,282
Le pouvoir de louer à la pointe,Paulette Delannoy,978-0-12-225631-8,Philosophie,10,8,Français,287
Le confort d'innover à sa source,Jacqueline Becker-Blanc,978-1-4341-0489-2,Science-Fiction,6,9,Italien,51
Le confort d'atteindre vos buts avant-tout,Olivier du Rivière,978-1-72891-770-2,Poésie,10,7,Italien,318
L'art d'avancer à l'état pur,Claudine Raymond-Girard,978-0-09-077673-3,Poésie,1,8,Allemand,383
L'assurance de changer en toute tranquilité,Étienne Le Lévy,978-1-67319-243-8,Biographie,10,7,Français,525
L'art de concrétiser vos projets plus facilement,Chantal Lemoine,978-1-9752-1597-2,Programmation,8,4,Allemand,553
Le plaisir de concrétiser vos projets de manière sûre,Denis Gonzalez,978-1-192-54794-8,Biographie,3,9,Français,491
Le droit de changer de manière sûre,Catherine Lecomte de Hardy,978-1-316-06886-1,Histoire,7,7,Espagnol,568
L'art de concrétiser vos projets à l'état pur,Susan Guillou-Maurice,978-0-08-822939-5,Fiction,8,5,Espagnol,55
La liberté d'avancer à la pointe,Bertrand Guillon,978-1-65484-156-0,Science-Fiction,1,1,Allemand,471
Le droit de louer plus rapidement,Thibaut-André Lucas,978-1-876141-42-4,Science-Fiction,7,9,Allemand,381
Le droit d'atteindre vos buts en toute tranquilité,Dorothée Sauvage,978-0-89629-739-5,Science-Fiction,5,9,Allemand,80
La liberté de rouler plus rapidement,Laurent Menard,978-1-337-92426-9,Histoire,9,8,Anglais,372
L'art d'atteindre vos buts avant-tout,Jules-Emmanuel Dupré,978-1-923185-78-4,Roman,6,1,Français,780
Le droit de rouler à l'état pur,Laetitia Coulon de la Lefort,978-0-533-54675-6,Roman,10,8,Français,258
La liberté de rouler à l'état pur,Christiane du Samson,978-0-12-668930-3,Histoire,2,4,Allemand,687
Le confort d'atteindre vos buts plus facilement,Thibaut Bodin,978-1-5313-6469-4,Fiction,7,10,Anglais,477
Le confort de rouler naturellement,Étienne Girard,978-1-329-86819-9,Fiction,5,9,Anglais,645
L'art d'atteindre vos buts plus facilement,Christine Lambert de Gosselin,978-0-233-39519-7,Fantasy,1,9,Français,667
La possibilité de louer de manière sûre,Patrick Fouquet,978-0-09-077989-5,Science-Fiction,1,6,Anglais,650
L'art d'atteindre vos buts avant-tout,Alex Foucher,978-0-7013-5019-2,Fiction,8,9,Italien,264
Le confort d'évoluer naturellement,Bernadette de Ramos,978-0-261-12258-1,Philosophie,10,5,Espagnol,356
L'art de louer plus rapidement,Marc Vallet,978-0-15-833211-6,Poésie,5,5,Espagnol,737
La liberté d'avancer avant-tout,Valérie Legros,978-0-00-726501-5,Roman,8,10,Français,469
Le plaisir d'atteindre vos buts de manière sûre,Arnaude-Jeanne Ledoux,978-0-11-056937-6,Philosophie,1,10,Français,689
La possibilité de rouler avant-tout,Denis Charrier Le Collin,978-1-55954-671-3,Biographie,10,8,Italien,193
Le pouvoir de louer à la pointe,Bernard Garnier,978-1-162-18407-4,Fiction,4,10,Anglais,493
La possibilité de changer plus facilement,Suzanne Lacroix-Leleu,978-0-9729987-1-0,Histoire,8,3,Anglais,293
L'art de rouler sans soucis,Maurice Hebert Le Collet,978-1-67092-972-3,Fantasy,9,8,Français,89
Le droit de rouler plus rapidement,Odette Duhamel,978-1-222-02083-0,Science-Fiction,5,2,Italien,215
Le pouvoir d'évoluer à l'état pur,Françoise Rousset,978-0-04-481509-9,Science-Fiction,3,7,Anglais,530
Le pouvoir d'avancer plus facilement,Pénélope Le Monnier,978-1-366-32259-3,Thriller,3,3,Allemand,89
La liberté d'innover avant-tout,Astrid Breton,978-1-06-611229-6,Thriller,6,8,Espagnol,670
La liberté de changer à l'état pur,Gilbert Martinez,978-1-252-47556-3,Histoire,8,9,Espagnol,638
Le pouvoir d'atteindre vos buts avant-tout,Marguerite Albert,978-1-269-64535-5,Science-Fiction,8,10,Anglais,386
Le pouvoir de rouler à l'état pur,Marcel Rémy,978-0-485-96789-0,Fantasy,5,4,Italien,776
Le droit de louer de manière sûre,Matthieu Daniel-Maillot,978-1-5464-0644-0,Programmation,10,1,Italien,261
Le pouvoir de changer avant-tout,Noël Blin-Durand,978-0-14-066599-4,Science-Fiction,7,3,Espagnol,596
L'avantage de rouler en toute tranquilité,Margaret-Margaux Petit,978-0-03-690349-0,Programmation,6,3,Français,322
